iter	Logloss
0	0.6212832778
1	0.5667482845
2	0.5265454413
3	0.4884133705
4	0.4586488024
5	0.4377786459
6	0.4185277225
7	0.4030475496
8	0.3944672961
9	0.3872899495
10	0.3770382531
11	0.3687689284
12	0.3624160252
13	0.3516905728
14	0.3400954335
15	0.3304384194
16	0.3234179781
17	0.3140471601
18	0.3095759236
19	0.3051498823
20	0.2985520665
21	0.2933662512
22	0.285734091
23	0.2789204874
24	0.2734304477
25	0.2681709249
26	0.2643056354
27	0.259339061
28	0.2528064947
29	0.2512555969
30	0.2484972864
31	0.2472098128
32	0.2458824371
33	0.2399830099
34	0.2378992461
35	0.2356277
36	0.2327940421
37	0.2302751233
38	0.2284835098
39	0.2262235393
40	0.2245754959
41	0.2234943346
42	0.2216888992
43	0.2204468888
44	0.2188456615
45	0.2175015298
46	0.2159780317
47	0.2144919128
48	0.2137670477
49	0.2124771989
50	0.2113413096
51	0.2103169605
52	0.2093164076
53	0.2084366039
54	0.2081014323
55	0.2065485685
56	0.2062289819
57	0.2056755957
58	0.2049968729
59	0.2043076324
60	0.2036484818
61	0.2029597819
62	0.2023556635
63	0.2020581171
64	0.2012214792
65	0.1997349447
66	0.1992462559
67	0.1990620852
68	0.1988988945
69	0.1986277188
70	0.1976900199
71	0.1971050223
72	0.1969554932
73	0.1966098613
74	0.1960372524
75	0.1953478719
76	0.1952302513
77	0.1951313207
78	0.1944349948
79	0.1935125755
80	0.1934111244
81	0.1933086059
82	0.1931793021
83	0.1929675865
84	0.1925695107
85	0.1924597016
86	0.1922556174
87	0.1920454005
88	0.1918728171
89	0.191700873
90	0.1915394424
91	0.1914745586
92	0.191310627
93	0.1910235752
94	0.1900621602
95	0.1900043638
96	0.1899342045
97	0.1897920957
98	0.1897013558
99	0.1895591556
100	0.1894351663
101	0.1890596443
102	0.1885227755
103	0.1882211451
104	0.1881601135
105	0.1874736227
106	0.1874219549
107	0.1873702438
108	0.1872872899
109	0.1870359794
110	0.1869924695
111	0.1869448334
112	0.1869060665
113	0.1866315208
114	0.186579883
115	0.1865365743
116	0.1862261526
117	0.1861869476
118	0.1853161635
119	0.1852669665
120	0.1852326494
121	0.184992198
122	0.1845614437
123	0.1845227971
124	0.184271917
125	0.1842089042
126	0.1841742101
127	0.1841387773
128	0.183345652
129	0.18331205
130	0.1832813909
131	0.1830401865
132	0.1829959937
133	0.1829645923
134	0.1829339729
135	0.1828963117
136	0.1828694509
137	0.1821431071
138	0.1820932928
139	0.1816800213
140	0.1816501387
141	0.1816193077
142	0.1815929267
143	0.1815658114
144	0.1815408746
145	0.1813449656
146	0.1813197238
147	0.1812965623
148	0.181120784
149	0.1809257711
150	0.1807364589
151	0.1807111868
152	0.1806916479
153	0.1805442509
154	0.1804987074
155	0.1804750432
156	0.1804522802
157	0.1804211432
158	0.1800856707
159	0.1800479499
160	0.1800079567
161	0.1799887272
162	0.1797411018
163	0.1797112686
164	0.1795525249
165	0.1795286884
166	0.1793486244
167	0.1793147622
168	0.1791926787
169	0.1790450662
170	0.1790251824
171	0.1790077916
172	0.1789847116
173	0.1788779015
174	0.1788571283
175	0.1788393117
176	0.178708282
177	0.1786922202
178	0.178545575
179	0.1785242475
180	0.178506061
181	0.1784853374
182	0.17846876
183	0.178449012
184	0.1783168597
185	0.1781948511
186	0.1781809206
187	0.1781664654
188	0.1781387953
189	0.1781208526
190	0.1781031343
191	0.1780857263
192	0.1780680411
193	0.1780516749
194	0.1779270389
195	0.1779159852
196	0.1778925407
197	0.1778678825
198	0.1777567406
199	0.1777382066
200	0.1772558321
201	0.1772437159
202	0.1772267502
203	0.1771260621
204	0.1768057552
205	0.176709634
206	0.1766935882
207	0.1766821967
208	0.1766723687
209	0.1766567168
210	0.1765729607
211	0.1765573366
212	0.1764570679
213	0.1764455738
214	0.1764310853
215	0.1763172883
216	0.1761892564
217	0.1761783216
218	0.176154955
219	0.1761408241
220	0.176126675
221	0.1760196234
222	0.1760067735
223	0.1759902364
224	0.175977074
225	0.1759645971
226	0.1759537661
227	0.1758450955
228	0.1757544626
229	0.1757429331
230	0.1757288808
231	0.1756245897
232	0.1756065016
233	0.1755966181
234	0.1755831704
235	0.1755721538
236	0.1755417015
237	0.1755293557
238	0.1755130596
239	0.1754973283
240	0.1754799714
241	0.1753890969
242	0.1753779756
243	0.1753626775
244	0.1753276227
245	0.1753125618
246	0.1751927571
247	0.1751825905
248	0.1751323485
249	0.1751204581
250	0.1751085213
251	0.1750980071
252	0.1748046752
253	0.1747905496
254	0.1747033621
255	0.1746938651
256	0.1746805106
257	0.174666739
258	0.1746581018
259	0.1746466002
260	0.174547353
261	0.1743185618
262	0.1742336994
263	0.1742220227
264	0.1742082194
265	0.1741985446
266	0.1741224736
267	0.1741122925
268	0.1741020725
269	0.1740940347
270	0.1740883051
271	0.1740763901
272	0.1740673615
273	0.1740503762
274	0.1737698218
275	0.1737021965
276	0.173692634
277	0.1736799318
278	0.1736613008
279	0.173648014
280	0.1736291913
281	0.1736180255
282	0.1736104791
283	0.1735975237
284	0.1735896671
285	0.1735294618
286	0.1735225524
287	0.1735074442
288	0.1734074391
289	0.1733746975
290	0.1733149752
291	0.1733049269
292	0.1732986643
293	0.1732860534
294	0.1731969683
295	0.1731322214
296	0.1731218908
297	0.1731077206
298	0.1730795295
299	0.173071854
300	0.1730600342
301	0.1730528819
302	0.1730398516
303	0.173029007
304	0.173022093
305	0.1729635243
