iter	Passed	Remaining
0	102	51201
1	171	42756
2	261	43243
3	346	42919
4	468	46344
5	546	44961
6	635	44792
7	752	46271
8	821	44826
9	912	44699
10	1030	45789
11	1178	47930
12	1260	47222
13	1397	48500
14	1481	47897
15	1614	48824
16	1665	47330
17	1814	48575
18	1879	47591
19	2011	48266
20	2061	47027
21	2271	49346
22	2420	50196
23	2607	51713
24	2705	51404
25	2811	51251
26	2918	51125
27	3144	53003
28	3323	53980
29	3493	54729
30	3583	54220
31	3697	54077
32	3861	54653
33	3947	54103
34	4063	53982
35	4236	54607
36	4264	53357
37	4369	53125
38	4449	52594
39	4631	53265
40	4748	53160
41	4954	54031
42	5320	56547
43	5375	55710
44	5532	55941
45	5716	56415
46	5985	57686
47	6123	57662
48	6263	57651
49	6447	58030
50	6594	58061
51	6769	58318
52	6894	58145
53	7144	59004
54	7213	58360
55	7380	58518
56	7525	58487
57	7678	58515
58	7790	58234
59	7929	58147
60	8009	57639
61	8185	57826
62	8281	57444
63	8391	57169
64	8538	57140
65	8711	57285
66	8837	57115
67	8967	56972
68	9036	56448
69	9201	56523
70	9323	56337
71	9464	56260
72	9546	55839
73	9730	56013
74	9859	55872
75	9971	55629
76	10009	54987
77	10146	54894
78	10301	54898
79	10415	54682
80	10580	54731
81	10673	54409
82	10770	54111
83	10894	53952
84	10986	53640
85	11099	53434
86	11244	53381
87	11362	53198
88	11478	53009
89	11580	52754
90	11773	52916
91	11855	52578
92	11962	52352
93	12129	52388
94	12198	52005
95	12353	51985
96	12420	51600
97	12551	51487
98	12589	50992
99	12724	50898
100	12798	50562
101	12939	50488
102	13090	50455
103	13278	50559
104	13385	50356
105	13471	50071
106	13580	49880
107	13738	49865
108	13808	49533
109	13929	49384
110	14007	49089
111	14229	49293
112	14335	49097
113	14413	48804
114	14484	48491
115	14717	48721
116	14820	48513
117	14958	48426
118	15090	48315
119	15155	47993
120	15275	47845
121	15393	47693
122	15527	47591
123	15573	47222
124	15789	47368
125	15980	47435
126	16102	47294
127	16168	46990
128	16357	47042
129	16439	46788
130	16537	46581
131	16648	46413
132	16810	46385
133	16968	46346
134	17037	46064
135	17115	45810
136	17184	45531
137	17383	45599
138	17488	45420
139	17592	45237
140	17752	45199
141	17928	45199
142	18054	45072
143	18171	44923
144	18289	44776
145	18378	44562
146	18519	44472
147	18654	44367
148	18782	44245
149	18929	44168
150	19098	44140
151	19172	43895
152	19265	43692
153	19446	43692
154	19517	43441
155	19654	43341
156	19697	43033
157	19796	42849
158	19849	42569
159	19904	42296
160	20100	42322
161	20255	42262
162	20327	42027
163	20469	41937
164	20541	41705
165	20652	41553
166	20765	41407
167	20859	41223
168	20921	40975
169	21033	40828
170	21082	40562
171	21198	40425
172	21328	40314
173	21401	40096
174	21477	39886
175	21577	39721
176	21692	39584
177	21742	39332
178	21825	39139
179	21954	39031
180	21975	38730
181	21991	38424
182	22090	38265
183	22253	38218
184	22321	38007
185	22431	37867
186	22596	37821
187	22704	37680
188	22791	37503
189	22914	37386
190	22977	37173
191	23066	37003
192	23217	36931
193	23280	36721
194	23354	36528
195	23467	36399
196	23566	36247
197	23690	36134
198	23800	35999
199	23909	35864
200	24028	35743
201	24148	35624
202	24211	35422
203	24300	35259
204	24423	35145
205	24518	34992
206	24600	34820
207	24708	34687
208	24796	34525
209	24924	34419
210	25010	34256
211	25085	34078
212	25204	33961
213	25333	33856
214	25429	33708
215	25510	33541
216	25624	33418
217	25737	33293
218	25813	33121
219	25891	32952
220	25965	32779
221	26072	32649
222	26165	32501
223	26290	32394
224	26427	32299
225	26492	32119
226	26620	32014
227	26705	31859
228	26819	31738
229	26954	31642
230	27061	31512
231	27137	31348
232	27227	31200
233	27300	31034
234	27416	30916
235	27507	30771
236	27579	30604
237	27711	30505
238	27793	30352
239	27894	30219
240	28049	30144
241	28118	29977
242	28219	29844
243	28320	29713
244	28432	29593
245	28539	29467
246	28594	29289
247	28705	29168
248	28799	29031
249	28870	28870
250	29003	28772
251	29107	28645
252	29232	28538
253	29303	28381
254	29437	28282
255	29555	28170
256	29663	28047
257	29779	27932
258	29924	27844
259	30043	27732
260	30113	27575
261	30179	27414
262	30266	27274
263	30412	27187
264	30513	27059
265	30681	26990
266	30811	26888
267	30928	26773
268	30985	26608
269	31066	26464
270	31209	26372
271	31254	26198
272	31382	26094
273	31516	25995
274	31649	25895
275	31737	25757
276	31792	25594
277	31895	25470
278	31986	25337
279	32108	25227
280	32150	25056
281	32239	24922
282	32294	24762
283	32416	24654
284	32526	24537
285	32624	24411
286	32703	24271
287	32773	24124
288	32832	23970
289	32882	23811
290	33110	23780
291	33211	23657
292	33335	23550
293	33464	23448
294	33525	23297
295	33682	23213
296	33804	23105
297	33877	22963
298	33965	22833
299	34073	22715
300	34179	22597
301	34285	22478
302	34443	22394
303	34545	22272
304	34647	22151
305	34702	22000
306	34831	21897
307	34992	21813
308	35109	21702
309	35215	21583
310	35375	21498
311	35484	21381
312	35585	21260
313	35636	21109
314	35808	21030
315	35910	20909
316	36003	20784
317	36130	20678
318	36240	20562
319	36330	20436
320	36444	20322
321	36564	20212
322	36641	20079
323	36774	19976
324	36922	19881
325	37059	19780
326	37121	19639
327	37228	19522
328	37343	19409
329	37417	19275
330	37478	19135
331	37621	19037
332	37727	18920
333	37850	18811
334	37974	18703
335	38083	18588
336	38231	18491
337	38282	18348
338	38366	18221
339	38511	18123
340	38573	17985
341	38680	17869
342	38813	17765
343	38890	17636
344	38913	17482
345	38937	17330
346	39020	17205
347	39204	17123
348	39270	16991
349	39408	16889
350	39527	16779
351	39591	16646
352	39702	16533
353	39803	16416
354	40125	16389
355	40375	16331
356	40511	16227
357	40707	16146
358	40923	16073
359	41297	16060
360	41669	16044
361	41946	15990
362	42130	15900
363	42355	15825
364	42598	15755
365	42805	15672
366	42923	15555
367	43015	15429
368	43113	15305
369	43172	15168
370	43218	15027
371	43296	14897
372	43364	14764
373	43449	14638
374	43501	14500
375	43565	14367
376	43619	14231
377	43681	14098
378	43739	13964
379	43804	13832
380	43858	13698
381	43904	13562
382	43960	13429
383	44010	13294
384	44072	13164
385	44127	13032
386	44190	12903
387	44255	12774
388	44329	12649
389	44392	12520
390	44446	12390
391	44522	12266
392	44587	12139
393	44655	12013
394	44707	11884
395	44763	11755
396	44822	11629
397	44903	11507
398	44981	11386
399	45042	11260
400	45117	11138
401	45186	11015
402	45256	10892
403	45311	10767
404	45377	10643
405	45445	10521
406	45505	10398
407	45574	10276
408	45625	10151
409	45683	10028
410	45746	9906
411	45800	9782
412	45866	9661
413	45934	9541
414	45986	9419
415	46044	9297
416	46106	9177
417	46165	9056
418	46240	8939
419	46288	8816
420	46335	8694
421	46421	8580
422	46471	8459
423	46521	8338
424	46573	8218
425	46618	8098
426	46674	7979
427	46737	7862
428	46811	7747
429	46879	7631
430	46942	7515
431	46993	7397
432	47050	7280
433	47098	7162
434	47147	7045
435	47202	6928
436	47264	6813
437	47315	6697
438	47380	6583
439	47453	6470
440	47498	6354
441	47562	6241
442	47630	6128
443	47679	6013
444	47726	5898
445	47781	5785
446	47838	5672
447	47897	5559
448	47958	5447
449	48022	5335
450	48090	5224
451	48136	5111
452	48193	5000
453	48267	4890
454	48312	4778
455	48369	4667
456	48421	4556
457	48487	4446
458	48544	4336
459	48600	4226
460	48652	4115
461	48709	4006
462	48765	3897
463	48830	3788
464	48894	3680
465	48944	3571
466	48997	3462
467	49055	3354
468	49109	3246
469	49182	3139
470	49239	3031
471	49290	2924
472	49356	2817
473	49403	2709
474	49456	2602
475	49500	2495
476	49542	2388
477	49595	2282
478	49636	2176
479	49681	2070
480	49718	1963
481	49760	1858
482	49796	1752
483	49837	1647
484	49877	1542
485	49922	1438
486	49969	1333
487	50013	1229
488	50053	1125
489	50085	1022
490	50120	918
491	50149	815
492	50175	712
493	50194	609
494	50215	507
495	50233	405
496	50251	303
497	50270	201
498	50285	100
499	50303	0
0
