BAS_DD,KOSPI200,VKOSPI200
20250307,338.42,21.97
20250306,340.31,21.27
20250305,337.08,22.17
20250304,334.02,23.47
20250228,334.27,22.86
20250227,346.45,19.32
20250226,349.31,19.93
20250225,347.54,19.6
20250224,349.9,19.48
20250221,351.92,18.64
20250220,352.15,18.64
20250219,354.53,18.49
20250218,347.84,17.88
20250217,345.11,18.06
20250214,342.76,17.7
20250213,341.06,18.03
20250212,337.23,18.8
20250211,336.67,19.28
20250210,334.5,19.95
20250207,333.89,19.29
20250206,336.53,19.12
20250205,332.47,20.06
20250204,328.72,20.91
20250203,324.55,22.08
20250131,333.36,18.79
20250124,336.74,17.96
20250123,334.5,17.79
20250122,338.76,17.67
20250121,334.44,18.3
20250120,333.94,18.45
20250117,335.09,17.68
20250116,335.73,18.14
20250115,330.97,19.26
20250114,330.74,19.25
20250113,330.31,20.49
20250110,334.55,19.92
20250109,335.4,19.9
20250108,334.95,20.2
20250107,330.89,20.24
20250106,331.52,20.71
20250103,324,20.31
20250102,317.77,20.7
20241230,317.82,21.14
20241227,319.03,20.88
20241226,321.45,20.49
20241224,323.39,20.02
20241223,322.98,20.07
20241220,318.33,21.45
20241219,322.38,20.3
20241218,329.72,17.96
20241217,325.25,18.36
20241216,329.61,18.88
20241213,330.49,19.49
20241212,329.04,19.91
20241211,323.86,20.6
20241210,320.79,21.62
20241209,313.74,23.45
20241206,322.07,22
20241205,323.87,20.73
20241204,326.59,21.34
20241203,331.44,19.07
20241202,325.34,19.94
20241129,325.45,19.34
20241128,331.45,17.72
20241127,332.32,18.2
20241126,335.6,18.5
20241125,336.63,18.59
20241122,332.36,18.91
20241121,329.49,19.46
20241120,329.02,19.93
20241119,328.11,20.01
20241118,328.44,21.09
20241115,320.53,21.74
20241114,317.7,23.41
20241113,318.84,24.86
20241112,327.31,21.62
20241111,334.64,19.82
20241108,339.71,19.03
20241107,340.87,19.77
20241106,340.61,20.72
20241105,341.47,22.52
20241104,343.6,22.83
20241101,337.49,22.95
20241031,339.32,22.65
20241030,345,21.55
20241029,348.28,21.44
20241028,347.27,21.92
20241025,343.37,22.12
20241024,342.88,22.09
20241023,346.27,21.54
20241022,342.09,21.7
20241021,346.62,20.9
20241018,345.42,20.75
20241017,347.73,21.09
20241016,347.26,21.65
20241015,351.07,21.24
20241014,349.74,21.81
20241011,345.45,21.99
20241010,345.21,23.27
20241008,344.23,25.62
20241007,347.34,25.41
20241004,341.74,25.84
20241002,340.72,25.89
20240930,344.76,25.44
20240927,353.93,25.4
20240926,356.44,25.63
20240925,344.56,23.91
20240924,349.61,22.26
20240923,345.78,21.49
20240920,344.67,21
20240919,343.28,22.16
20240913,343.69,21.68
20240912,343.85,21.73
20240911,335.65,24.06
20240910,338.48,23.84
20240909,340.18,25.61
20240906,342.37,26.81
20240905,345.92,25.5
20240904,346.66,26.04
20240903,358.8,19.73
20240902,362.09,19.34
20240830,361.55,18.81
20240829,360.1,19.8
20240828,365.28,19.38
20240827,364.56,19.76
20240826,366.31,20.96
20240823,367.91,21.28
20240822,369.1,21.16
20240821,368.22,21.18
20240820,368.99,21.03
20240819,365.52,23.22
20240816,369.11,19.9
20240814,360.39,22.1
20240813,357.02,23.64
20240812,355.61,24.49
20240809,351.52,26.53
20240808,346.7,29.02
20240807,349.09,30.17
20240806,341.73,43.08
20240805,331.86,45.86
20240802,365.17,21.77
20240801,380.54,17.12
20240731,380.49,17.51
20240730,374.87,17.78
20240729,378.73,17.51
20240726,374.2,17.98
20240725,371.26,18.77
20240724,378.66,17.42
20240723,381.65,17.47
20240722,379.84,18.39
20240719,383.89,17.27
20240718,389,16.79
20240717,391.55,16.53
20240716,395.31,16.34
20240715,393.84,16.47
20240712,392.29,16.44
20240711,398.52,16.12
20240710,395.6,16.08
20240709,395.79,16.28
20240708,394.47,16.81
20240705,395.47,16.72
20240704,388.53,16.36
20240703,383.23,15.55
20240702,381.2,15.88
20240701,384.34,16.05
20240628,384.02,16.1
20240627,382.27,16.57
20240626,383.01,16.74
20240625,379.85,16.98
20240624,378.39,17.02
20240621,380.88,16.52
20240620,384.78,16.56
20240619,383.01,16.33
20240618,377.73,16.34
20240617,373.86,16.71
20240614,376,16.03
20240613,374.75,16.52
20240612,371.12,17.4
20240611,367.71,17.16
20240610,367.46,17.17
20240607,371.39,16.64
20240605,366.44,16.56
20240604,362.52,16.64
20240603,365.48,16.69
20240531,358.21,16.9
20240530,358.7,16.82
20240529,364.96,15.66
20240528,371.33,15.07
20240527,371.16,15.21
20240524,366.08,15.43
20240523,371.62,15.22
20240522,371.41,15.71
20240521,371.55,15.85
20240520,373.68,15.95
20240517,370.58,15.98
20240516,374.6,15.98
20240514,371.04,16.73
20240513,370.99,16.6
20240510,371.08,16.29
20240509,368.83,16.49
20240508,374.09,16.46
20240507,372.8,17.21
20240503,363.58,17.51
20240502,364.31,17.88
20240430,365.13,18.14
20240429,364.48,18.13
20240426,361.02,18.32
20240425,356.51,18.82
20240424,363.6,18.02
20240423,355.98,18.93
20240422,356.89,19.8
20240419,352.58,21.22
20240418,359.06,19.42
20240417,352.79,20.02
20240416,356.67,19.95
20240415,365.31,18.45
20240412,367.25,17.59
20240411,370.72,18.03
20240409,370.27,18.09
20240408,372.51,18.16
20240405,371.57,18.12
20240404,375.61,17.2
20240403,369.72,17.63
20240402,376.34,17.1
20240401,374.28,17.13
20240329,374.63,16.84
20240328,373.22,16.88
20240327,374.08,17.14
20240326,374.6,17.34
20240325,370.73,17.35
20240322,372.65,17.13
20240321,373.66,17.53
20240320,363.32,16.92
20240319,357.33,16.78
20240318,361.31,17.12
20240315,359.39,16.83
20240314,366.68,16.51
20240313,363.04,16.93
20240312,361.11,17.8
20240311,358.34,18.05
20240308,361.71,17.25
20240307,356.82,17.25
20240306,356.25,17.25
20240305,357.59,17.13
20240304,361.1,17.33
20240229,355.57,16.77
20240228,356.79,16.83
20240227,352.76,17.16
20240226,355.48,17.94
20240223,358.57,18.31
20240222,357.67,18.22
20240221,356.04,18.5
20240220,356.92,18.09
20240219,360.88,18.02
20240216,355.52,17.41
20240215,351.21,17.79
20240214,352.69,17.98
20240213,357.38,18.02
20240208,353.29,17.24
20240207,352.25,17.62
20240206,347.8,17.59
20240205,349.15,18.06
20240202,353.43,17.79
20240201,342.41,16.79
20240131,336.24,17.02
20240130,337.48,17.11
20240129,337.84,17.27
20240126,334.21,16.96
20240125,333.8,16.92
20240124,333.27,17.07
20240123,334.97,17.39
20240122,332.63,18.01
20240119,332.99,17.64
20240118,327.13,18.32
20240117,326.11,19.31
20240116,334.73,17.18
20240115,339.24,16.84
20240112,338.22,16.77
20240111,340.28,17.14
20240110,340.66,16.79
20240109,343.81,17.42
20240108,345.58,17.77
20240105,347.22,17.8
20240104,348.07,18.2
20240103,351.2,18.28
20240102,360.55,18.61
20231228,357.99,17.78
20231227,352.46,16.55
20231226,350.43,16.25
20231222,349.15,14.97
20231221,348.78,14.93
20231220,350.11,14.78
20231219,343.95,13.85
20231218,343.5,14.27
20231215,343.99,13.98
20231214,341.33,14.11
20231213,336.68,14.3
20231212,339.77,14.45
20231211,337.93,14.59
20231208,336.6,14.76
20231207,332.67,16.85
20231206,333.45,14.56
20231205,332.85,14.84
20231204,336.14,14.61
20231201,334.8,14.5
20231130,338.43,14.46
20231129,336.62,14.6
20231128,337.52,15.35
20231127,333.67,15.2
20231124,334,15.04
20231123,336.91,15.13
20231122,336.81,15.88
20231121,336.57,16.18
20231120,334.23,16.68
20231117,332.06,16.55
20231116,334.31,16.98
20231115,333.96,17.24
20231114,326.57,17.35
20231113,323.31,17.68
20231110,323.75,17.13
20231109,325.29,16.84
20231108,324,17.56
20231107,327.29,18.23
20231106,334.16,18.65
20231103,318.24,16.7
20231102,315.16,17.49
20231101,309.71,18.79
20231031,305.56,19.89
20231030,308.95,20.03
20231027,308.53,20.02
20231026,307.75,21.14
20231025,316.49,18.56
20231024,318.43,18.82
20231023,315.5,19.65
20231020,317.96,19.53
20231019,322.76,18.23
20231018,328.82,16
20231017,327.35,16.18
20231016,323.29,17.07
20231013,325.77,15.95
20231012,328.85,15.7
20231011,324.74,16.74
20231010,319.11,17.56
20231006,318.94,17.39
20231005,318.58,17.34
20231004,319.45,18.09
20230927,326.71,15.08
20230926,326.9,14.74
20230925,331.58,14.1
20230922,332.02,14.18
20230921,333.04,13.96
20230920,338.75,13.03
20230919,338.82,12.95
20230918,340.67,12.85
20230915,344.98,11.73
20230914,341.19,12.02
20230913,335.99,12.64
20230912,335.54,12.4
20230911,337.58,12.42
20230908,336.4,12.4
20230907,336.74,12.69
20230906,337.85,12.46
20230905,340.29,12.42
20230904,341.02,12.49
20230901,338.28,12.53
20230831,334.75,12.78
20230830,334.94,13.05
20230829,333.76,13.49
20230828,332.53,14.18
20230825,330.25,14.86
20230824,333.82,13.94
20230823,329.15,14.97
20230822,329.7,15.33
20230821,328.84,16.03
20230818,328.42,16.03
20230817,330.23,15.57
20230816,331.28,15.15
20230814,336.33,14.14
20230811,338.98,13.44
20230810,340.46,14
20230809,341.61,14.15
20230808,337.95,15.4
20230807,339.68,15.71
20230804,341.25,15.55
20230803,341.54,15.88
20230802,343.8,15.36
20230801,351,14.06
20230731,345.62,14.21
20230728,344.03,14.15
20230727,344.76,13.9
20230726,340.56,14.53
20230725,344.92,14.08
20230724,344.32,14.12
20230721,342.39,13.35
20230720,341.67,13.22
20230719,343.11,12.91
20230718,343.38,13.07
20230717,345.75,13.21
20230714,346.93,13.19
20230713,341.13,13.25
20230712,339.46,13.76
20230711,337.02,13.82
20230710,330.84,14.63
20230707,331.57,14.58
20230706,336.2,12.98
20230705,339.04,12.37
20230704,341.59,12.27
20230703,343.08,12.73
20230630,337.95,12.59
20230629,336.39,12.93
20230628,338.41,13.1
20230627,340.32,13.18
20230626,340.38,13.46
20230623,338.45,13.04
20230622,341.12,13.24
20230621,339.44,13.36
20230620,342.58,13.02
20230619,343.13,13.35
20230616,345.17,13.13
20230615,343.19,13.25
20230614,344.65,13.55
20230613,346.39,13.76
20230612,344.57,13.45
20230609,346.79,13.16
20230608,342.75,13.44
20230607,343.22,13.71
20230605,343.91,14.08
20230602,342.67,13.96
20230601,338.08,14.35
20230531,339.12,14.8
20230530,341.5,14.79
20230526,337.11,14.96
20230525,335.35,15.07
20230524,336.49,14.87
20230523,337.09,14.56
20230522,336.27,14.74
20230519,334.23,14.13
20230518,329.84,13.54
20230517,326.61,13.52
20230516,325.31,13.59
20230515,324.46,13.81
20230512,323.61,13.93
20230511,325.28,14.31
20230510,326.04,14.77
20230509,328.22,14.39
20230508,328.9,14.87
20230504,326.17,15.27
20230503,326.52,15.09
20230502,329.09,14.21
20230428,326.46,14.51
20230427,325.09,14.86
20230426,323.97,15.09
20230425,324.48,15.02
20230424,328.7,14.86
20230421,330.94,14.62
20230420,332.66,14.63
20230419,333.77,14.86
20230418,333.5,15.17
20230417,333.92,15.49
20230414,333.68,15.42
20230413,333.09,15.52
20230412,332.09,15.82
20230411,330.87,15.62
20230410,326.38,15.72
20230407,323.36,15.35
20230406,317.82,15.87
20230405,323.56,15.36
20230404,321.75,15.22
20230403,320.38,15.88
20230331,322.03,15.57
20230330,318.05,15.7
20230329,317.01,16.15
20230328,316.36,16.81
20230327,312.85,17.97
20230324,314.3,17.59
20230323,315.75,17.97
20230322,314.11,18.29
20230321,310.36,19.51
20230320,309.49,20.62
20230317,312.07,18.26
20230316,308.39,19.97
20230315,309.1,18.75
20230314,305.58,21.11
20230313,313.21,18.2
20230310,310.65,17.56
20230309,314.04,16.53
20230308,315.38,17.21
20230307,319.8,16.95
20230306,320.94,17.18
20230303,316.36,17.69
20230302,316.26,18.31
20230228,314.8,18.53
20230227,313.94,19.38
20230224,316.94,18.81
20230223,319.44,18.99
20230222,315.94,19.56
20230221,321.56,18.89
20230220,321.79,18.64
20230217,320.78,18.23
20230216,324.1,17.84
20230215,317.99,18.18
20230214,323.47,18.52
20230213,321.75,18.23
20230210,323.69,17.53
20230209,324.9,17.95
20230208,325.63,17.5
20230207,320.55,17.31
20230206,318.83,17.55
20230203,325.86,17.01
20230202,323.93,17.08
20230201,321.19,17.54
20230131,317.26,17.75
20230130,322.67,17.38
20230127,327.98,16.86
20230126,325.57,16.53
20230125,320.76,16.84
20230120,315.58,16.81
20230119,313.81,16.89
20230118,311.91,16.8
20230117,313.75,16.85
20230116,316.04,16.88
20230113,313.77,17.19
20230112,310.7,18.34
20230111,310.38,17.98
20230110,309.57,18.22
20230109,309.69,18.48
20230106,301.53,17.74
20230105,297.87,17.85
20230104,295.98,18.17
20230103,289.58,18.96
20230102,289.79,18.85
20221229,291.1,18.4
20221228,297.09,17.53
20221227,304.22,17.09
20221226,302.27,17.46
20221223,302.07,17.43
20221222,307.48,16.6
20221221,303.23,17.62
20221220,304.05,17.98
20221219,306.77,17.6
20221216,307.48,17.03
20221215,307.73,16.71
20221214,313.23,17.27
20221213,309.56,19.09
20221212,309.64,18.52
20221209,311.63,17.57
20221208,308.24,18.38
20221207,308.27,18.45
20221206,310.14,18.19
20221205,313.91,17.98
20221202,315.02,18.49
20221201,322.02,17.51
20221130,321,17.78
20221129,315.58,17.76
20221128,312.21,18.12
20221125,316.07,16.97
20221124,317.3,16.85
20221123,314.11,17.92
20221122,312.02,19.09
20221121,314.67,19.81
20221118,317.12,19.87
20221117,316.75,20.09
20221116,321.96,19.87
20221115,322.31,19.63
20221114,321.53,20.32
20221111,323.09,19.97
20221110,311.13,21.21
20221109,315.23,20.1
20221108,312.01,19.99
20221107,307.87,20.82
20221104,304.33,20.84
20221103,301.66,21.21
20221102,303.87,21.13
20221101,303.88,21.11
20221031,299.58,21.97
20221028,295.06,22.71
20221027,298.82,22.12
20221026,293.85,23.42
20221025,291.58,24.23
20221024,291.47,24.62
20221021,288.57,23.94
20221020,288.61,24.04
20221019,291.29,23.21
20221018,293.59,22.86
20221017,289.57,24.4
20221014,289.36,23.94
20221013,282.57,27.22
20221012,287.09,24.69
20221011,284.96,25.78
20221007,290.41,23.93
20221006,291.26,23.37
20221005,289.05,24.36
20221004,288.27,24.99
20220930,281.36,27.19
20220929,282.65,25.96
20220928,283.19,26.59
20220927,290.2,23.62
20220926,289.77,24.02
20220923,297.74,20.33
20220922,301.65,20.47
20220921,304.67,20.8
20220920,307.54,19.28
20220919,306.49,19.64
20220916,308.69,19.13
20220915,310.63,18.39
20220914,312.74,18.73
20220913,318.56,16.68
20220908,309.12,19.17
20220907,308.16,19.85
20220906,313.01,18.49
20220905,312.47,18.87
