BAS_DD,MMF
20190102,1.84
20190103,1.84
20190104,1.85
20190107,1.85
20190108,1.85
20190109,1.85
20190110,1.85
20190111,1.82
20190114,1.82
20190115,1.82
20190116,1.82
20190117,1.82
20190118,1.82
20190121,1.82
20190122,1.82
20190123,1.82
20190124,1.82
20190125,1.83
20190128,1.83
20190129,1.83
20190130,1.83
20190131,1.83
20190201,1.84
20190207,1.84
20190208,1.84
20190211,1.84
20190212,1.84
20190213,1.84
20190214,1.84
20190215,1.84
20190218,1.84
20190219,1.84
20190220,1.84
20190221,1.84
20190222,1.84
20190225,1.84
20190226,1.84
20190227,1.84
20190228,1.84
20190304,1.84
20190305,1.84
20190306,1.84
20190307,1.84
20190308,1.85
20190311,1.85
20190312,1.85
20190313,1.85
20190314,1.85
20190315,1.85
20190318,1.85
20190319,1.85
20190320,1.85
20190321,1.85
20190322,1.83
20190325,1.83
20190326,1.83
20190327,1.83
20190328,1.83
20190329,1.83
20190401,1.83
20190402,1.83
20190403,1.83
20190404,1.83
20190405,1.82
20190408,1.82
20190409,1.82
20190410,1.82
20190411,1.82
20190412,1.82
20190415,1.82
20190416,1.82
20190417,1.82
20190418,1.82
20190419,1.81
20190422,1.81
20190423,1.81
20190424,1.81
20190425,1.81
20190426,1.79
20190429,1.79
20190430,1.79
20190502,1.79
20190503,1.8
20190507,1.8
20190508,1.8
20190509,1.8
20190510,1.77
20190513,1.77
20190514,1.77
20190515,1.77
20190516,1.77
20190517,1.78
20190520,1.78
20190521,1.78
20190522,1.78
20190523,1.78
20190524,1.77
20190527,1.77
20190528,1.77
20190529,1.77
20190530,1.77
20190531,1.76
20190603,1.76
20190604,1.76
20190605,1.76
20190607,1.75
20190610,1.75
20190611,1.75
20190612,1.75
20190613,1.75
20190614,1.77
20190617,1.77
20190618,1.77
20190619,1.77
20190620,1.77
20190621,1.75
20190624,1.75
20190625,1.75
20190626,1.75
20190627,1.75
20190628,1.78
20190701,1.78
20190702,1.78
20190703,1.78
20190704,1.78
20190705,1.74
20190708,1.74
20190709,1.74
20190710,1.74
20190711,1.74
20190712,1.72
20190715,1.72
20190716,1.72
20190717,1.72
20190718,1.72
20190719,1.68
20190722,1.68
20190723,1.68
20190724,1.68
20190725,1.68
20190726,1.64
20190729,1.64
20190730,1.64
20190731,1.64
20190801,1.64
20190802,1.64
20190805,1.64
20190806,1.64
20190807,1.64
20190808,1.64
20190809,1.6
20190812,1.6
20190813,1.6
20190814,1.6
20190816,1.57
20190819,1.57
20190820,1.57
20190821,1.57
20190822,1.57
20190823,1.57
20190826,1.57
20190827,1.57
20190828,1.57
20190829,1.57
20190830,1.56
20190902,1.56
20190903,1.56
20190904,1.56
20190905,1.56
20190906,1.53
20190909,1.53
20190910,1.53
20190911,1.54
20190916,1.54
20190917,1.54
20190918,1.54
20190919,1.54
20190920,1.52
20190923,1.52
20190924,1.52
20190925,1.52
20190926,1.52
20190927,1.54
20190930,1.54
20191001,1.54
20191002,1.54
20191004,1.53
20191007,1.53
20191008,1.53
20191010,1.53
20191011,1.49
20191014,1.49
20191015,1.49
20191016,1.49
20191017,1.49
20191018,1.48
20191021,1.48
20191022,1.48
20191023,1.48
20191024,1.48
20191025,1.4
20191028,1.4
20191029,1.4
20191030,1.4
20191031,1.4
20191101,1.38
20191104,1.38
20191105,1.38
20191106,1.38
20191107,1.38
20191108,1.37
20191111,1.37
20191112,1.37
20191113,1.37
20191114,1.37
20191115,1.39
20191118,1.39
20191119,1.39
20191120,1.39
20191121,1.39
20191122,1.4
20191125,1.4
20191126,1.4
20191127,1.4
20191128,1.4
20191129,1.4
20191202,1.4
20191203,1.4
20191204,1.4
20191205,1.4
20191206,1.4
20191209,1.4
20191210,1.4
20191211,1.4
20191212,1.4
20191213,1.41
20191216,1.41
20191217,1.41
20191218,1.41
20191219,1.41
20191220,1.44
20191223,1.44
20191224,1.44
20191226,1.44
20191227,1.45
20191230,1.45
20191231,1.45
20200102,1.45
20200103,1.48
20200106,1.48
20200107,1.48
20200108,1.48
20200109,1.48
20200110,1.47
20200113,1.47
20200114,1.47
20200115,1.47
20200116,1.47
20200117,1.46
20200120,1.46
20200121,1.46
20200122,1.46
20200123,1.45
20200128,1.45
20200129,1.45
20200130,1.45
20200131,1.44
20200203,1.44
20200204,1.44
20200205,1.44
20200206,1.44
20200207,1.39
20200210,1.39
20200211,1.39
20200212,1.39
20200213,1.39
20200214,1.4
20200217,1.4
20200218,1.4
20200219,1.4
20200220,1.4
20200221,1.37
20200224,1.37
20200225,1.37
20200226,1.37
20200227,1.37
20200228,1.36
20200302,1.36
20200303,1.36
20200304,1.36
20200305,1.36
20200306,1.36
20200309,1.36
20200310,1.36
20200311,1.36
20200312,1.36
20200313,1.36
20200316,1.36
20200317,1.36
20200318,1.36
20200319,1.36
20200320,1.32
20200323,1.32
20200324,1.32
20200325,1.32
20200326,1.32
20200327,1.23
20200330,1.23
20200331,1.23
20200401,1.23
20200402,1.23
20200403,1.22
20200406,1.22
20200407,1.22
20200408,1.22
20200409,1.22
20200410,1.19
20200413,1.19
20200414,1.19
20200416,1.19
20200417,1.2
20200420,1.2
20200421,1.2
20200422,1.2
20200423,1.2
20200424,1.12
20200427,1.12
20200428,1.12
20200429,1.13
20200504,1.13
20200506,1.13
20200507,1.13
20200508,1.12
20200511,1.12
20200512,1.12
20200513,1.12
20200514,1.12
20200515,1.09
20200518,1.09
20200519,1.09
20200520,1.09
20200521,1.09
20200522,1.07
20200525,1.07
20200526,1.07
20200527,1.07
20200528,1.07
20200529,1.04
20200601,1.04
20200602,1.04
20200603,1.04
20200604,1.04
20200605,1.01
20200608,1.01
20200609,1.01
20200610,1.01
20200611,1.01
20200612,0.99
20200615,0.99
20200616,0.99
20200617,0.99
20200618,0.99
20200619,0.96
20200622,0.96
20200623,0.96
20200624,0.96
20200625,0.96
20200626,0.95
20200629,0.95
20200630,0.95
20200701,0.95
20200702,0.95
20200703,0.93
20200706,0.93
20200707,0.93
20200708,0.93
20200709,0.93
20200710,0.86
20200713,0.86
20200714,0.86
20200715,0.86
20200716,0.86
20200717,0.88
20200720,0.88
20200721,0.88
20200722,0.88
20200723,0.88
20200724,0.78
20200727,0.78
20200728,0.78
20200729,0.78
20200730,0.78
20200731,0.76
20200803,0.76
20200804,0.76
20200805,0.76
20200806,0.76
20200807,0.77
20200810,0.77
20200811,0.77
20200812,0.77
20200813,0.77
20200814,0.72
20200818,0.72
20200819,0.72
20200820,0.72
20200821,0.68
20200824,0.68
20200825,0.68
20200826,0.68
20200827,0.68
20200828,0.68
20200831,0.68
20200901,0.68
20200902,0.68
20200903,0.68
20200904,0.65
20200907,0.65
20200908,0.65
20200909,0.65
20200910,0.65
20200911,0.64
20200914,0.64
20200915,0.64
20200916,0.64
20200917,0.64
20200918,0.63
20200921,0.63
20200922,0.63
20200923,0.63
20200924,0.63
20200925,0.6
20200928,0.6
20200929,0.61
20201005,0.61
20201006,0.61
20201007,0.61
20201008,0.64
20201012,0.64
20201013,0.64
20201014,0.64
20201015,0.64
20201016,0.63
20201019,0.63
20201020,0.63
20201021,0.63
20201022,0.63
20201023,0.61
20201026,0.61
20201027,0.61
20201028,0.61
20201029,0.61
20201030,0.63
20201102,0.63
20201103,0.63
20201104,0.63
20201105,0.63
20201106,0.61
20201109,0.61
20201110,0.61
20201111,0.61
20201112,0.61
20201113,0.61
20201116,0.61
20201117,0.61
20201118,0.61
20201119,0.61
20201120,0.6
20201123,0.6
20201124,0.6
20201125,0.6
20201126,0.6
20201127,0.61
20201130,0.61
20201201,0.61
20201202,0.61
20201203,0.61
20201204,0.62
20201207,0.62
20201208,0.62
20201209,0.62
20201210,0.62
20201211,0.61
20201214,0.61
20201215,0.61
20201216,0.61
20201217,0.61
20201218,0.63
20201221,0.63
20201222,0.63
20201223,0.63
20201224,0.64
20201228,0.64
20201229,0.64
20201230,0.64
20201231,0.65
20210104,0.65
20210105,0.65
20210106,0.65
20210107,0.65
20210108,0.68
20210111,0.68
20210112,0.68
20210113,0.68
20210114,0.68
20210115,0.66
20210118,0.66
20210119,0.66
20210120,0.66
20210121,0.66
20210122,0.65
20210125,0.65
20210126,0.65
20210127,0.65
20210128,0.65
20210129,0.65
20210201,0.65
20210202,0.65
20210203,0.65
20210204,0.65
20210205,0.63
20210208,0.63
20210209,0.63
20210210,0.63
20210215,0.63
20210216,0.63
20210217,0.63
20210218,0.63
20210219,0.65
20210222,0.65
20210223,0.65
20210224,0.65
20210225,0.65
20210226,0.67
20210302,0.67
20210303,0.67
20210304,0.67
20210305,0.66
20210308,0.66
20210309,0.66
20210310,0.66
20210311,0.66
20210312,0.66
20210315,0.66
20210316,0.66
20210317,0.66
20210318,0.66
20210319,0.66
20210322,0.66
20210323,0.66
20210324,0.66
20210325,0.66
20210326,0.64
20210329,0.64
20210330,0.64
20210331,0.64
20210401,0.64
20210402,0.65
20210405,0.65
20210406,0.65
20210407,0.65
20210408,0.65
20210409,0.61
20210412,0.61
20210413,0.61
20210414,0.61
20210415,0.61
20210416,0.65
20210419,0.65
20210420,0.65
20210421,0.65
20210422,0.65
20210423,0.63
20210426,0.63
20210427,0.63
20210428,0.63
20210429,0.63
20210430,0.62
20210503,0.62
20210504,0.62
20210506,0.62
20210507,0.62
20210510,0.62
20210511,0.62
20210512,0.62
20210513,0.62
20210514,0.59
20210517,0.59
20210518,0.59
20210520,0.59
20210521,0.6
20210524,0.6
20210525,0.6
20210526,0.6
20210527,0.6
20210528,0.61
20210531,0.61
20210601,0.61
20210602,0.61
20210603,0.61
20210604,0.59
20210607,0.59
20210608,0.59
20210609,0.59
20210610,0.59
20210611,0.58
20210614,0.58
20210615,0.58
20210616,0.58
20210617,0.58
20210618,0.61
20210621,0.61
20210622,0.61
20210623,0.61
20210624,0.61
20210625,0.62
20210628,0.62
20210629,0.62
20210630,0.62
20210701,0.62
20210702,0.64
20210705,0.64
20210706,0.64
20210707,0.64
20210708,0.64
20210709,0.62
20210712,0.62
20210713,0.62
20210714,0.62
20210715,0.62
20210716,0.63
20210719,0.63
20210720,0.63
20210721,0.63
20210722,0.63
20210723,0.63
20210726,0.63
20210727,0.63
20210728,0.63
20210729,0.63
20210730,0.64
20210802,0.64
20210803,0.64
20210804,0.64
20210805,0.64
20210806,0.6
20210809,0.6
20210810,0.6
20210811,0.6
20210812,0.6
20210813,0.61
20210817,0.61
20210818,0.61
20210819,0.61
20210820,0.65
20210823,0.65
20210824,0.65
20210825,0.65
20210826,0.65
20210827,0.66
20210830,0.66
20210831,0.66
20210901,0.66
20210902,0.66
20210903,0.72
20210906,0.72
20210907,0.72
20210908,0.72
20210909,0.72
20210910,0.73
20210913,0.73
20210914,0.73
20210915,0.73
20210916,0.73
20210917,0.79
20210923,0.79
20210924,0.81
20210927,0.81
20210928,0.81
20210929,0.81
20210930,0.81
20211001,0.81
20211005,0.81
20211006,0.81
20211007,0.81
20211008,0.83
20211012,0.83
20211013,0.83
20211014,0.83
20211015,0.84
20211018,0.84
20211019,0.84
20211020,0.84
20211021,0.84
20211022,0.87
20211025,0.87
20211026,0.87
20211027,0.87
20211028,0.87
20211029,0.9
20211101,0.9
20211102,0.9
20211103,0.9
20211104,0.9
20211105,0.89
20211108,0.89
20211109,0.89
20211110,0.89
20211111,0.89
20211112,0.94
20211115,0.94
20211116,0.94
20211117,0.94
20211118,0.94
20211119,0.99
20211122,0.99
20211123,0.99
20211124,0.99
20211125,0.99
20211126,1.01
20211129,1.01
20211130,1.01
20211201,1.01
20211202,1.01
20211203,1.09
20211206,1.09
20211207,1.09
20211208,1.09
20211209,1.09
20211210,1.11
20211213,1.11
20211214,1.11
20211215,1.11
20211216,1.11
20211217,1.19
20211220,1.19
20211221,1.19
20211222,1.19
20211223,1.19
20211224,1.21
20211227,1.21
20211228,1.21
20211229,1.21
20211230,1.21
20211231,1.25
20220103,1.25
20220104,1.25
20220105,1.25
20220106,1.25
20220107,1.35
20220110,1.35
20220111,1.35
20220112,1.35
20220113,1.35
20220114,1.33
20220117,1.33
20220118,1.33
20220119,1.33
20220120,1.33
20220121,1.37
20220124,1.37
20220125,1.37
20220126,1.37
20220127,1.37
20220128,1.4
20220203,1.4
20220204,1.39
20220207,1.39
20220208,1.39
20220209,1.39
20220210,1.39
20220211,1.37
20220214,1.37
20220215,1.37
20220216,1.37
20220217,1.37
20220218,1.42
