BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20200102,0.02034343958740939,7,0.014499999999999999,290.35,14.69,20012,297.5,282.5,0.44,0.43,189879,180660,137.76476666092645,29963836.748751502,2789154.3272054745,0,32752991.075956978,0.0032752991075956977
20200109,0.02211604698508699,7,0.0148,294.41,15.97,20013,302.5,287.5,0.22,0.37,1249,1625,135.86495023946196,20040080.16032064,2844044.2528893407,9510546.516761411,13373577.896448571,0.001337357789644857
20200116,0.018515438208554356,7,0.0147,302.78,13.37,20014,310,295,0.26,0.31,3295,4727,132.10912213488342,18825549.90422089,2824485.339959299,0,21650035.244180188,0.002165003524418019
20200123,0.019789499775635135,7,0.014499999999999999,302.33,14.29,20015,310,295,0.26,0.46,1886,3536,132.30575860814344,23815036.549465816,2787444.4553692346,219296794.8929976,-192694313.88816255,-0.019269431388816257
20200130,0.023528593505111335,7,0.014499999999999999,288.37,16.99,20021,297.5,280,0.3,1,3318,4205,138.71068419044977,45080972.36189618,2793358.1334102256,109234663.7999784,-61360333.304672,-0.0061360333304672
20200206,0.025245806921611512,7,0.0144,300.65,18.23,20022,310,292.5,0.46,0.94,380846,167844,133.04506901712955,46565774.15599534,2774503.643931299,0,49340277.79992664,0.004934027779992664
20200213,0.02347319952393391,7,0.0139,300.93,16.95,20023,310,292.5,0.27,0.72,2645,1013,132.92127737347556,32898016.1499352,2674523.2245791466,0,35572539.37451435,0.003557253937451435
20200220,0.025190412940434094,7,0.013999999999999999,296.65,18.19,20024,305,287.5,0.56,0.56,3435,2768,134.83903590089332,37754930.05225013,2695068.4469729327,350918590.9320757,-310468592.4328526,-0.031046859243285263
20200227,0.03475972318883428,7,0.013700000000000002,277.09,25.1,20031,287.5,265,1.14,1.29,441,899,144.35742899418963,87697138.11397019,2650438.782315424,0,90347576.89628561,0.00903475768962856
20200305,0.03705857340769743,7,0.013600000000000001,281.38,26.76,20032,292.5,270,0.45,1.03,282097,163904,142.15651432226883,52597910.299239464,2621937.8659191444,795365697.633094,-740145849.4679353,-0.07401458494679353
