BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20200109,0.05,35,0.0148,294.41,15.97,20022,310,277.5,0.58,0.56,20515,11577,135.86495023946196,38721510.81824666,14246733.541380417,0,52968244.35962708,0.005296824435962708
20200213,0.05,28,0.0139,300.93,16.95,20032,317.5,285,0.47,1.15,32759,33162,132.92127737347556,53833117.3362576,10720416.025389785,1242149337.0551288,-1177595803.6934814,-0.11775958036934814
20200312,0.05,28,0.013600000000000001,247.62,37.6,20042,262.5,235,4.33,8.27,6840,5900,161.537840239076,508844196.75308937,10963747.589379663,0,519807944.34246904,0.051980794434246906
20200409,0.05,35,0.0122,245.61,40.05,20052,260,232.5,3.17,5.16,5702,1079,162.85981841130246,339155571.84153736,12095395.696373524,0,351250967.5379109,0.03512509675379109
20200514,0.05,28,0.011200000000000002,253.65,25.75,20062,267.5,240,0.99,2.95,14448,8038,157.69761482357578,155332150.60122216,8725238.801174093,832643406.2684803,-668586016.8660841,-0.06685860168660841
20200611,0.05,28,0.0101,288.62,26.06,20072,305,272.5,1.28,3.26,15285,4261,138.5905342665096,157300256.3924884,7869820.582213139,0,165170076.97470152,0.01651700769747015
20200709,0.05,35,0.009300000000000001,287.25,25.04,20082,302.5,272.5,2.1,2.73,7157,3450,139.2515230635335,168146214.0992167,9067757.78818985,725152306.3533503,-547938334.4659437,-0.05479383344659437
20200813,0.05,28,0.0077,323.33,22.86,20092,340,305,1.48,1.92,26305,12975,123.7126155939752,105155723.25487892,5968963.216256855,0,111124686.47113578,0.011112468647113578
20200910,0.05,28,0.006500000000000001,316.53,24.73,20102,332.5,300,1.15,2.4,10378,8709,126.37032824692763,112153666.31914826,5042224.567863247,0,117195890.8870115,0.01171958908870115
20201008,0.05,35,0.0064,317.47,21.55,20112,335,300,1.58,2.49,13497,6740,125.99615711720791,128201089.86675905,6215663.134603162,0,134416753.0013622,0.01344167530013622
20201112,0.05,28,0.0061,329.72,20.68,20122,347.5,312.5,1.06,1.81,13774,5841,121.31505519835011,87043552.1048162,4720183.667669871,663290064.2969793,-571526328.5244932,-0.05715263285244932
